user_id,sector,name,stock,weight
0,Consumer Staples,Cassandra DavidCassandra David,KOMNST,32.756059707055925
1,Health Care,Alexander Johnson,MTD,40.13831852268452
2,Energy,Donna ShannonDonna ShannonDonna Shannon,CTRATRGPMPC,47.2188081888973
3,Real Estate,Katherine RoachKatherine Roach,PLDCSGP,49.18826301928317
4,Real Estate,Michelle PhillipsMichelle Phillips,REGDOC,29.36269017999737
5,Industrials,Heather GreenHeather Green,DOVHII,31.84651364986169
6,Industrials,Anthony HickmanAnthony HickmanAnthony HickmanAnthony Hickman,OTISGNRCUBERLMT,41.30515604211596
7,Information Technology,Clifford GarciaClifford Garcia,TXNADI,28.445293677104118
8,Industrials,Joyce CurtisJoyce CurtisJoyce Curtis,ADPFASTWM,35.67864246228911
9,Industrials,Mary BrownMary BrownMary Brown,TXTSWKRTX,39.08400585925935
10,Information Technology,Eduardo HooverEduardo Hoover,TRMBAVGO,28.73687600484982
11,Real Estate,Patrick HudsonPatrick Hudson,CPTVTR,34.25062462131706
12,Consumer Discretionary,Brianna ReedBrianna ReedBrianna ReedBrianna Reed,PHMRCLBBWIDPZ,47.91736334208159
13,Information Technology,Gloria LynchGloria LynchGloria Lynch,ROPNTAPSWKS,42.29865177714091
14,Financials,Keith MitchellKeith MitchellKeith Mitchell,COFSYFAIZ,49.16685636749733
15,Consumer Discretionary,Sarah JonesSarah Jones,NCLHBBWI,59.350314062702274
16,Industrials,Jonathan GibsonJonathan GibsonJonathan Gibson,JDAYMAS,31.189742353983764
17,Consumer Discretionary,Kimberly MooreKimberly MooreKimberly Moore,LULUDHIMGM,26.485599609302017
18,Industrials,Robert WigginsRobert WigginsRobert Wiggins,FTVURIUAL,52.813159114942934
19,Consumer Staples,Michael Woods,TAP,54.18173811400189
20,Industrials,Angela SerranoAngela SerranoAngela Serrano,TXTSWKRTX,35.56344313409203
21,Health Care,Robert Reilly,CAH,28.75790100682318
22,Information Technology,Renee TranRenee TranRenee Tran,VRSNAMATMU,38.61692019256971
23,Health Care,Nichole MaldonadoNichole MaldonadoNichole Maldonado,ELVBMYDVA,62.21886025309935
24,Industrials,Samuel HughesSamuel HughesSamuel Hughes,HONTDGFTV,34.03423955899753
25,Financials,Diane LambDiane LambDiane LambDiane LambDiane LambDiane Lamb,FIALLCINFAIGPFGGPN,41.90480852923397
26,Information Technology,Tammy HarrisTammy Harris,CTSHACN,24.44174085350121
27,Real Estate,Michael Perez,VTR,27.241888086383977
28,Financials,Samantha ReillySamantha ReillySamantha ReillySamantha Reilly,SYFMMCCNDAQ,64.55695560762865
29,Health Care,Laura RobertsonLaura RobertsonLaura RobertsonLaura RobertsonLaura Robertson,HCACISYKWATTFX,52.61954453515957
30,Health Care,Tony McbrideTony Mcbride,GILDBMY,39.17985521445321
31,Real Estate,Ronald BrownRonald BrownRonald Brown,CPTDLRSBAC,36.40008364284561
32,Industrials,Stephanie KellyStephanie Kelly,PHPCAR,27.62046461941111
